"district","n","n_acd_only","n_agree_in_zone","pct_acd_only"
"13",4265,4152,113,97.4
"23",1137,1090,47,95.9
"19",5935,5238,697,88.3
"18",3648,3168,480,86.8
"08",1100,875,225,79.5
"03",3157,2453,704,77.7
"14",3020,2346,674,77.7
"09",1930,1471,459,76.2
"17",2986,2264,722,75.8
"02",2594,1931,663,74.4
"16",3600,2670,930,74.2
"22",1389,986,403,71
"04",1464,1022,442,69.8
"07",1461,1018,443,69.7
"15",2998,2065,933,68.9
"11",911,562,349,61.7
"10",3362,1996,1366,59.4
"12",3729,2197,1532,58.9
"21",2962,1728,1234,58.3
"06",1405,789,616,56.2
"05",2071,1056,1015,51
"20",1617,634,983,39.2
"01",1514,298,1216,19.7
