"district","n_ogd","n_osm_bbox","ratio","is_focus"
"21",2962,54445,18.38,TRUE
"20",1617,5381,3.33,TRUE
"2",0,47158,47158,FALSE
"3",0,8932,8932,FALSE
"9",0,4233,4233,FALSE
"5",0,4008,4008,FALSE
"6",0,3441,3441,FALSE
"1",0,2767,2767,FALSE
"7",0,2538,2538,FALSE
"4",0,2395,2395,FALSE
"8",0,1505,1505,FALSE
"22",1389,109150,78.58,FALSE
"23",1137,37392,32.89,FALSE
"11",911,19440,21.34,FALSE
"14",3020,42601,14.11,FALSE
"10",3362,35451,10.54,FALSE
"17",2986,25565,8.56,FALSE
"13",4265,31728,7.44,FALSE
"18",3648,20326,5.57,FALSE
"16",3600,18170,5.05,FALSE
"12",3729,13120,3.52,FALSE
"19",5935,19207,3.24,FALSE
"15",2998,5774,1.93,FALSE
"01",1514,0,0,FALSE
"02",2594,0,0,FALSE
"03",3157,0,0,FALSE
"04",1464,0,0,FALSE
"05",2071,0,0,FALSE
"06",1405,0,0,FALSE
"07",1461,0,0,FALSE
"08",1100,0,0,FALSE
"09",1930,0,0,FALSE
